image_path,class
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (1).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (10).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (100).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (101).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (102).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (103).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (104).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (105).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (106).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (107).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (108).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (109).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (11).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (110).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (111).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (112).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (113).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (114).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (115).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (116).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (117).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (118).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (119).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (12).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (120).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (121).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (122).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (123).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (124).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (125).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (126).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (127).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (128).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (129).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (13).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (130).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (131).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (132).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (133).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (134).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (135).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (136).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (137).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (138).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (139).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (14).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (140).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (141).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (142).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (143).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (144).png,0
C:\Users\labdsp\Documents\Croissant\only_pic\dataset\benign_images\benign (145).png,0
